,0,1,2
198,0.39215687,0.39215687,0.39215687
199,0.39215687,0.39215687,0.39215687
200,0.4117647,0.4117647,0.4117647
201,0.40392157,0.40392157,0.40392157
202,0.4,0.4,0.4
203,0.4,0.4,0.4
204,0.4,0.4,0.4
205,0.4,0.4,0.4
206,0.41568628,0.41568628,0.41568628
207,0.43137255,0.43137255,0.43137255
208,0.44705883,0.44705883,0.44705883
209,0.4392157,0.4392157,0.4392157
210,0.42352942,0.42352942,0.42352942
211,0.40784314,0.40784314,0.40784314
212,0.41568628,0.41568628,0.41568628
213,0.4392157,0.4392157,0.4392157
214,0.45490196,0.45490196,0.45490196
215,0.45490196,0.45490196,0.45490196
216,0.46666667,0.46666667,0.46666667
217,0.47058824,0.47058824,0.47058824
218,0.47058824,0.47058824,0.47058824
219,0.46666667,0.46666667,0.46666667
220,0.45490196,0.45490196,0.45490196
221,0.4509804,0.4509804,0.4509804
222,0.4509804,0.4509804,0.4509804
223,0.45490196,0.45490196,0.45490196
224,0.45882353,0.45882353,0.45882353
225,0.45490196,0.45490196,0.45490196
226,0.44705883,0.44705883,0.44705883
227,0.4392157,0.4392157,0.4392157
228,0.44705883,0.44705883,0.44705883
229,0.45882353,0.45882353,0.45882353
230,0.45490196,0.45490196,0.45490196
231,0.44705883,0.44705883,0.44705883
232,0.4509804,0.4509804,0.4509804
233,0.46666667,0.46666667,0.46666667
234,0.49019608,0.49019608,0.49019608
235,0.5058824,0.5058824,0.5058824
236,0.5137255,0.5137255,0.5137255
237,0.5137255,0.5137255,0.5137255
238,0.50980395,0.50980395,0.50980395
239,0.50980395,0.50980395,0.50980395
240,0.5019608,0.5019608,0.5019608
241,0.49803922,0.49803922,0.49803922
242,0.49411765,0.49411765,0.49411765
243,0.49411765,0.49411765,0.49411765
244,0.5019608,0.5019608,0.5019608
245,0.5058824,0.5058824,0.5058824
246,0.5019608,0.5019608,0.5019608
247,0.49803922,0.49803922,0.49803922
248,0.5137255,0.5137255,0.5137255
249,0.5019608,0.5019608,0.5019608
250,0.49019608,0.49019608,0.49019608
251,0.49019608,0.49019608,0.49019608
252,0.5058824,0.5058824,0.5058824
253,0.5176471,0.5176471,0.5176471
254,0.52156866,0.52156866,0.52156866
255,0.5176471,0.5176471,0.5176471
256,0.5137255,0.5137255,0.5137255
257,0.5058824,0.5058824,0.5058824
258,0.5058824,0.5058824,0.5058824
259,0.50980395,0.50980395,0.50980395
260,0.5058824,0.5058824,0.5058824
261,0.5058824,0.5058824,0.5058824
262,0.5176471,0.5176471,0.5176471
263,0.53333336,0.53333336,0.53333336
264,0.52156866,0.52156866,0.52156866
265,0.48235294,0.48235294,0.48235294
266,0.4745098,0.4745098,0.4745098
267,0.5137255,0.5137255,0.5137255
268,0.5294118,0.5294118,0.5294118
269,0.5176471,0.5176471,0.5176471
270,0.52156866,0.52156866,0.52156866
271,0.54901963,0.54901963,0.54901963
272,0.5411765,0.5411765,0.5411765
273,0.5254902,0.5254902,0.5254902
274,0.5294118,0.5294118,0.5294118
275,0.5529412,0.5529412,0.5529412
276,0.5647059,0.5647059,0.5647059
277,0.5529412,0.5529412,0.5529412
278,0.54509807,0.54509807,0.54509807
279,0.54901963,0.54901963,0.54901963
